Medicine_ID,Medicine_Name,Category,Stock,Price,Expiry_Date,Supplier,Monthly_Sales
M101,Paracetamol,Fever,120,25,2026-08-15,Apollo Pharma,320
M102,Crocin,Fever,80,30,2026-09-20,Cipla,280
M103,Dolo 650,Fever,95,35,2026-10-10,Sun Pharma,350
M104,Ibuprofen,Pain Relief,70,40,2025-12-18,Dr Reddy,210
M105,Cetirizine,Allergy,60,20,2026-06-25,Cipla,190
M106,Azithromycin,Antibiotic,45,150,2025-11-30,Sun Pharma,130
M107,Amoxicillin,Antibiotic,50,90,2025-10-12,Apollo Pharma,160
M108,ORS,Powder,150,30,2027-01-05,Himalaya,240
M109,Cough Syrup,Cough,55,120,2025-09-17,Dabur,110
M110,Antacid,Digestion,85,65,2026-04-22,Himalaya,175
M111,Vitamin C,Vitamins,100,75,2026-07-19,Cipla,220
M112,Calcium Tablets,Vitamins,90,180,2027-03-11,Sun Pharma,145
M113,Insulin,Diabetes,25,450,2025-08-28,Novo Nordisk,95
M114,Glucometer,Diabetes,35,950,2027-05-16,AccuCheck,60
M115,Bandage,First Aid,200,15,2028-01-01,MedPlus,410
M116,Hand Sanitizer,Hygiene,75,99,2026-05-14,Dettol,185
M117,Face Mask,Hygiene,180,10,2027-02-20,MedPlus,300
M118,BP Monitor,Equipment,20,1800,2028-04-10,Omron,45
M119,Thermometer,Equipment,40,250,2027-06-30,Omron,70
M120,Eye Drops,Eye Care,65,85,2025-12-05,Cipla,125
M121,Pain Relief Spray,Pain Relief,50,160,2026-11-09,Dr Reddy,135
M122,Ayurvedic Oil,Ayurvedic,70,140,2027-08-12,Dabur,100
M123,Protein Powder,Supplement,30,1200,2026-09-25,Himalaya,55
M124,Multivitamin,Supplement,85,220,2027-01-18,Sun Pharma,165
M125,Burn Cream,First Aid,60,110,2026-03-14,Apollo Pharma,115
M126,Nasal Spray,Cold,45,130,2025-10-27,Cipla,90
M127,Steam Inhaler,Equipment,25,850,2028-02-11,Omron,40
M128,Glucose Powder,Energy Drink,100,50,2027-04-06,Dabur,200
M129,Digene,Digestion,90,35,2026-08-09,Himalaya,230
M130,Liv 52,Liver Care,55,145,2027-07-15,Himalaya,120
